author,alias,title,date,ip,city,country,ups,downs,comments,url
tnfsh23,小霖,[請益] 非本科轉職請益,2022-08-31 00:25:17,223.140.226.162,Taichung,Taiwan,37,1,63,https://www.ptt.cc/bbs/Soft_Job/M.1661876719.A.4F4.html
Findagreen,天母克魯蛇,[請益] Data Analyst跟Data Scientist差很多嗎？,2022-08-30 23:03:48,106.146.23.174,,Japan,22,0,37,https://www.ptt.cc/bbs/Soft_Job/M.1661871830.A.982.html
chopinmozart,aha,[請益] Innova 英諾瓦資訊,2022-08-30 19:20:35,124.218.37.52,New Taipei,Taiwan,5,0,7,https://www.ptt.cc/bbs/Soft_Job/M.1661858437.A.06B.html
iamgoat,何謂人篸,[請益] 非本科offer請益,2022-08-30 12:43:15,42.79.118.77,,Taiwan,14,2,30,https://www.ptt.cc/bbs/Soft_Job/M.1661834597.A.F4A.html
windofsmile,微笑之風,[請益] 博弈業相關疑問及Offer請益,2022-08-30 08:56:56,59.127.206.174,Kaohsiung City,Taiwan,48,1,77,https://www.ptt.cc/bbs/Soft_Job/M.1661821018.A.37A.html
zxzxcool,電T,Re: [心得] Netskope面試(2022),2022-08-30 01:15:31,123.192.64.99,New Taipei,Taiwan,21,0,9,https://www.ptt.cc/bbs/Soft_Job/M.1661793334.A.BAA.html
u4u4,荔枝,[請益] 非本科的就業準備方向？,2022-08-30 00:51:45,27.53.224.9,,Taiwan,15,1,35,https://www.ptt.cc/bbs/Soft_Job/M.1661791907.A.E74.html
otherman,總經理,[贈送] 程式相關書籍 ,2022-08-28 17:40:08,1.165.96.35,Taichung,Taiwan,10,1,4,https://www.ptt.cc/bbs/Soft_Job/M.1661679610.A.875.html
ilovedc74,ilovedc74,Fw: [徵求] 北商大會計資訊系陸裕豪老師誠徵兼任研究助理,2022-08-28 16:25:45,123.193.214.153,New Taipei,Taiwan,3,0,4,https://www.ptt.cc/bbs/Soft_Job/M.1661675146.A.B4B.html
bdyjkb,bdyjkb,[徵才] Kronos Research 徵 Senior Full-Stack S,2022-08-27 15:49:40,49.216.132.30,New Taipei,Taiwan,21,2,21,https://www.ptt.cc/bbs/Soft_Job/M.1661586583.A.FCC.html
lovdkkkk,dk,Re: [討論] 怎樣算是一個合格的junior cpp programme,2022-08-27 11:03:27,111.241.125.108,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1661569409.A.5BB.html
wsad50232,GGYY,Re: [請益] 業界遇到這種bug該怎麼處理?,2022-08-27 08:37:50,36.229.38.223,Hsinchu County,Taiwan,12,2,18,https://www.ptt.cc/bbs/Soft_Job/M.1661560672.A.836.html
SZBZ,北投金城武,[情報] 金融科技自動交易訓練班-政府補助(遠距),2022-08-26 14:31:24,59.115.192.204,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1661495485.A.952.html
banana2014,香蕉共和國,[請益] 業界遇到這種bug該怎麼處理?,2022-08-26 13:24:20,36.226.110.67,Hsinchu,Taiwan,26,2,68,https://www.ptt.cc/bbs/Soft_Job/M.1661491462.A.11E.html
Voltaire3756,Voltaire_young,[請益] 離職理由與面試應答請益,2022-08-26 02:38:45,114.43.192.51,New Taipei,Taiwan,14,1,44,https://www.ptt.cc/bbs/Soft_Job/M.1661452727.A.700.html
nns327,nns,[請益] 實際工作與面試時不同,2022-08-25 23:45:35,212.102.42.212,Central,Hong Kong,22,0,65,https://www.ptt.cc/bbs/Soft_Job/M.1661442337.A.4B1.html
vuijeod,寂寞如雪,[請益] 關於Google Intel 等 大廠,2022-08-25 21:12:07,119.77.232.220,New Taipei,Taiwan,20,1,20,https://www.ptt.cc/bbs/Soft_Job/M.1661433129.A.CC4.html
art1,人，原來不是人,Re: [討論] 怎樣算是一個合格的junior cpp programme,2022-08-25 20:53:46,218.173.18.88,Kaohsiung City,Taiwan,3,0,3,https://www.ptt.cc/bbs/Soft_Job/M.1661432028.A.2E0.html
ericerix,我的帥，在於臉,[討論] OS的程式碼要怎麼trace比較有效率？,2022-08-31 22:53:34,49.216.55.170,New Taipei,Taiwan,14,0,31,https://www.ptt.cc/bbs/Soft_Job/M.1661957617.A.C2B.html
bird2246,嗚拉拉大白,轉職後端考照請益,2022-08-31 17:34:53,223.136.13.32,New Taipei,Taiwan,19,1,19,https://www.ptt.cc/bbs/Soft_Job/M.1661938495.A.913.html
aoksc,重出江湖,Re: [請益] 博弈業相關疑問及Offer請益,2022-08-31 02:12:01,114.43.182.23,New Taipei,Taiwan,23,0,30,https://www.ptt.cc/bbs/Soft_Job/M.1661883123.A.F61.html
NDark,溺於黑暗,Re: [討論] 怎樣算是一個合格的junior cpp programme,2022-08-24 23:22:02,1.169.35.216,New Taipei,Taiwan,4,0,27,https://www.ptt.cc/bbs/Soft_Job/M.1661354528.A.5F0.html
HZYSoft,PCMan,Re: [討論] 怎樣算是一個合格的junior cpp programme,2022-08-24 22:17:41,111.249.189.4,New Taipei,Taiwan,23,0,51,https://www.ptt.cc/bbs/Soft_Job/M.1661350664.A.083.html
